UserID;CardID;CardBrandID;CardType;CardNumber;CardLastDigit;Expires;CVV;HasChip;CreditLimit
0;0;VSA;Debit;4344676511950440;440;2022-12-01;623;YES;24295
0;1;VSA;Debit;4956965974959980;9980;2020-12-01;393;YES;21968
0;2;VSA;Debit;4582313478255490;5490;2024-02-01;719;YES;46414
0;3;VSA;Credit;4879494103069050;9050;2024-08-01;693;NO;12400
1;0;VSA;Credit;4404898874682990;2990;2003-09-01;736;YES;27500
1;1;VSA;Debit;4001482973848630;8630;2022-07-01;972;YES;28508
1;2;MSC;Debit;5627220683410940;940;2022-06-01;48;YES;9022
2;0;MSC;Debit;5495199163052050;2050;2022-03-01;677;YES;31599
2;1;MSC;Debit;5804499644308590;8590;2023-07-01;258;NO;27480
2;2;MSC;Debit;5766352389579830;9830;2020-02-01;992;YES;26743
2;3;VSA;Debit;4242015583697290;7290;2020-06-01;928;YES;31463
2;4;MSC;Debit;5191030913182490;2490;2024-06-01;360;YES;16055
3;0;VSA;Credit;4017261190134810;4810;2015-05-01;877;YES;98100
3;2;VSA;Debit;4032240655674500;4500;2022-06-01;53;YES;132439
3;3;VSA;Debit;4935974646456350;6350;2020-06-01;649;YES;125723
4;0;MSC;Debit;5905027855347650;7650;2022-01-01;886;YES;34900
5;0;VSA;Credit;4099623033306950;6950;2021-09-01;74;YES;9900
5;1;VSA;Debit;4281200324251210;1210;2013-07-01;865;YES;21587
5;2;VSA;Credit;4411456925570760;760;2022-11-01;922;YES;15800
6;0;MSC;Debit;5202477865497330;7330;2022-04-01;861;YES;29964
6;1;MSC;Credit;5089768442116300;6300;2023-07-01;686;YES;11200
6;2;MSC;Debit;5767339719294370;4370;2021-12-01;669;NO;26753
7;0;VSA;Debit;4595831603224640;4640;2023-05-01;689;NO;17480
8;0;MSC;Debit;5341049613275150;5150;2021-09-01;396;YES;26546
8;1;MSC;Debit;5668831527649350;9350;2021-01-01;356;YES;23253
8;2;VSA;Credit;4400056931148230;8230;2021-02-01;497;YES;16100
8;3;VSA;Credit;4808554251869440;9440;2021-02-01;921;YES;8700
8;4;MSC;Debit;5224739362243610;3610;2019-01-01;922;YES;29333
9;0;MSC;Debit;5294178176133530;3530;2024-07-01;265;YES;9496
10;0;VSA;Debit;4857799018106610;6610;2021-07-01;930;YES;25499
10;1;VSA;Debit;4324062360619920;9920;2020-02-01;358;YES;18641
11;0;VSA;Debit;4852639114720720;720;2023-05-01;995;YES;26019
12;0;MSC;Debit;5656383455895230;5230;2021-01-01;547;YES;25845
13;0;VSA;Debit;4556928160477220;7220;2023-06-01;64;YES;2365
13;1;MSC;Debit;5515782790823580;3580;2023-06-01;419;YES;18684
13;2;VSA;Credit;4508388296516450;6450;2021-02-01;364;NO;7400
14;0;MSC;Debit;5548265564669330;9330;2024-12-01;145;YES;4147
15;1;DSV;Credit;6726060094896110;6110;2009-01-01;105;NO;4700
15;2;VSA;Credit;4157109762296140;6140;2021-06-01;433;YES;5800
15;3;MSC;Debit;5231462717450520;520;2024-03-01;754;YES;12082
15;4;MSC;Credit;5074836567307560;7560;2023-03-01;741;NO;6000
16;0;MSC;Debit;5892013969159900;9900;2022-08-01;879;YES;14499
16;1;MSC;Debit;5179157151686140;6140;2023-07-01;457;YES;12332
16;2;MSC;Debit;5569640141329520;9520;2024-09-01;904;YES;18424
16;3;VSA;Credit;4708914311449290;9290;2023-07-01;149;NO;15400
16;4;VSA;Debit;4795724941278910;8910;2022-02-01;136;YES;14548
17;0;DSV;Credit;6580244636542190;2190;2011-04-01;416;YES;11200
17;1;MSC;Debit;5032457975030960;960;2024-10-01;240;YES;20291
17;2;VSA;Debit;4382324870900900;900;2018-08-01;852;YES;32092
17;3;MSC;Debit;5456808094753900;3900;2020-02-01;217;YES;20463
18;0;VSA;Debit;4465362453388900;8900;2022-08-01;738;YES;15802
18;1;VSA;Debit;4668447208616690;6690;2020-02-01;314;NO;4612
18;2;DSV;Credit;6377595394803320;3320;2020-07-01;675;YES;19900
19;1;MSC;Debit;5377858405611170;1170;2024-01-01;24;YES;11858
19;2;MSC;Debit;5585238056278280;8280;2005-03-01;749;YES;9664
19;3;MSC;Debit;5355281784290560;560;2020-06-01;810;YES;8367
19;4;VSA;Credit;4150093118072730;2730;2022-06-01;135;YES;6100
20;0;MSC;Debit;5979295728871780;1780;2020-02-01;630;YES;9944
20;1;VSA;Credit;4473643731469830;9830;2020-01-01;771;YES;7900
20;2;VSA;Credit;4800116569994470;4470;2020-12-01;201;YES;5600
21;0;VSA;Debit;4832328468851060;1060;2023-08-01;580;YES;68400
21;1;MSC;Debit;5278075482033390;3390;2023-04-01;437;YES;77237
22;0;VSA;Debit;4869845530765330;5330;2024-08-01;701;YES;4488
22;1;VSA;Credit;4231526239204030;4030;2020-02-01;499;YES;12500
23;0;MSC;Debit;5813611925507600;7600;2020-12-01;734;YES;23432
23;1;AMX;Credit;366520954874839;4839;2022-05-01;447;YES;8800
24;0;MSC;Credit;5392697458480960;960;2020-02-01;886;YES;12100
25;0;MSC;Debit;5048151330736420;6420;2020-02-01;931;YES;9708
25;1;AMX;Credit;371643368691556;1556;2021-11-01;683;YES;12000
25;2;MSC;Debit;5700734711260260;260;2023-11-01;230;YES;11973
26;0;MSC;Debit;5389442391430670;670;2022-02-01;658;YES;13601
26;1;MSC;Credit;5079116875907420;7420;2024-01-01;849;YES;7800
27;0;VSA;Debit;4390425683290560;560;2023-10-01;790;YES;17816
28;0;MSC;Debit;5217568630125700;5700;2021-03-01;625;NO;17707
28;1;AMX;Credit;397856635669220;9220;2020-11-01;2;YES;9500
29;0;MSC;Debit;5529182104663860;3860;2022-01-01;182;YES;19110
29;1;MSC;Debit;5489017664251280;1280;2023-08-01;196;YES;13428
