UserID;Name;BirthDate;CurrentAge;RetirementAge;RetirementStatus;GenderID;Address;City;States;Zipcode;PersonalAnnualIncome;TotalDebt;FICOScore
0;Hazel Robinson;1966-11-01;57;66;Not in Retirement;F;462 Rose Lane;La Verne;CA;91750;59696;127613;787
1;Sasha Sadr;1966-12-01;57;68;Not in Retirement;F;3606 Federal Boulevard;Little Neck;NY;11363;77254;191349;701
2;Saanvi Lee;1938-11-01;85;67;Already in Retirement;F;766 Third Drive;West Covina;CA;91792;33483;196;698
3;Everlee Clark;1957-01-01;66;63;Already in Retirement;F;3 Madison Street;New York;NY;10069;249925;202328;722
4;Kyle Peterson;1976-09-01;47;70;Not in Retirement;M;9620 Valley Stream Drive;San Francisco;CA;94117;109687;183855;675
5;Aldo Walker;1977-10-01;46;70;Not in Retirement;M;58 Birch Lane;Davenport;IA;52803;41997;0;704
6;Katalina Lewis;1983-12-01;40;67;Not in Retirement;F;5695 Fifth Street;Louisville;KY;40299;51500;102286;672
7;Ryland Howard;1993-12-01;30;67;Not in Retirement;M;1941 Ninth Street;Portland;OR;97214;54623;114711;728
8;Kenya Cooper;1938-07-01;85;66;Already in Retirement;F;11 Spruce Avenue;Telford;PA;18969;42509;2895;755
9;Sawyer Butler;1986-01-01;37;60;Not in Retirement;F;887 Grant Street;Abbeville;LA;70510;38190;81262;810
10;Antonio Ryan;1992-06-01;31;66;Not in Retirement;M;888 Fifth Lane;Fair Oaks;CA;95628;56164;15224;761
11;Elliot Edwards;1990-09-01;33;63;Not in Retirement;F;8677 Littlewood Lane;Greeley;CO;80634;45727;94016;629
12;Romina Garcia;2002-01-01;21;67;Not in Retirement;F;829 Fourth Boulevard;Cranston;RI;2921;69149;89214;776
13;Keanu Chen;1985-10-01;38;62;Not in Retirement;M;74786 Jefferson Drive;Traverse City;MI;49686;41442;78833;712
14;Poppy Flores;1971-05-01;52;62;Not in Retirement;F;781 East Street;San Antonio;TX;78207;20513;32509;599
15;Riya Cruz;1978-04-01;45;68;Not in Retirement;F;40 Washington Drive;Boise City;OK;73933;23123;5079;723
16;Saul Walker;1966-01-01;57;71;Not in Retirement;M;3994 Hillside Drive;Henderson;TX;75652;36497;38333;719
17;Anahi Rogers;1943-08-01;80;71;Already in Retirement;F;172 Birch Street;Flagstaff;AZ;86004;27484;16803;660
18;Cayden Rivera;1997-11-01;26;68;Not in Retirement;M;8145 Spruce Boulevard;Charlotte;NC;28269;53995;89056;683
19;Cristiano Jenkins;1953-10-01;70;68;Already in Retirement;M;153 Tenth Lane;Tucson;AZ;85711;35602;55369;661
20;Blaine Murphy;1991-08-01;32;57;Not in Retirement;M;2473 Lake Avenue;Helena;GA;31037;25122;43205;819
21;Grayson Diaz;2002-01-01;21;65;Not in Retirement;M;970 Essex Drive;Portola Valley;CA;94028;216740;0;700
22;Yadiel Miller;1943-06-01;80;66;Already in Retirement;M;9186 Washington Avenue;Cleveland;OH;44134;41109;21486;698
23;Roland King;1949-04-01;74;64;Already in Retirement;M;5073 Wessex Avenue;Tyronza;AR;72386;26858;11245;712
24;Cole Xi;1975-01-01;48;65;Not in Retirement;M;195 Eighth Boulevard;Central Point;OR;97502;34929;63849;714
25;Jade Green;1983-08-01;40;63;Not in Retirement;F;801 Mill Boulevard;Mesa;AZ;85201;34317;61826;610
26;Amaya Stewart;1979-04-01;44;66;Not in Retirement;F;6914 Wessex Avenue;Houston;TX;77061;31377;59615;722
27;Grant Gray;1982-09-01;41;58;Not in Retirement;M;776 Norfolk Boulevard;Van Nuys;CA;91411;43638;104052;627
28;Oliver Reed;1978-11-01;45;67;Not in Retirement;M;2015 Bayview Avenue;Cookeville;TN;38501;32531;38260;766
29;Aminah Collins;1983-02-01;40;72;Not in Retirement;F;108 Washington Street;Whites Creek;TN;37189;42120;72801;739
30;Ulises Neufelder;2001-05-01;22;64;Not in Retirement;M;660 Seventh Drive;Columbus;OH;43230;57281;89114;850
31;Tristan Hughes;1970-09-01;53;66;Not in Retirement;M;7505 Tenth Boulevard;Miami;FL;33175;38390;87923;783
32;Madalynn Gutierrez;1986-09-01;37;69;Not in Retirement;F;4930 Birch Drive;Southport;NC;28461;35670;58182;751
33;Rosa Faraday;1998-09-01;25;66;Not in Retirement;F;93 Plum Lane;Old Saybrook;CT;6475;61746;154817;637
34;Brynn Allen;1972-11-01;51;65;Not in Retirement;F;837 Lincoln Avenue;Mobile;AL;36693;43496;114563;765
35;Aden Adams;1978-08-01;45;55;Not in Retirement;M;7467 Spruce Drive;Sacramento;CA;95829;51854;72162;737
36;Haylee Baker;1968-04-01;55;68;Not in Retirement;F;6323 Sussex Boulevard;Chula Vista;CA;91911;34540;22641;793
37;Nehemiah Turner;1973-11-01;50;62;Not in Retirement;M;8738 Fourth Street;Hanover Park;IL;60133;41287;88151;662
38;Simon Adams;1973-10-01;50;70;Not in Retirement;M;9344 Mill Drive;Seaside;CA;93955;38054;63293;666
39;Sunny King;1961-02-01;62;62;Not in Retirement;F;299 11th Street;Northborough;MA;1532;80371;108499;822
40;Harper Jackson;1929-02-01;94;68;Already in Retirement;F;5492 Maple Drive;Overland Park;KS;66221;84694;2149;741
41;Thomas Burns;1941-02-01;82;72;Already in Retirement;M;829 Birch Boulevard;Corpus Christi;TX;78410;37503;14272;706
42;Titan Flores;1962-12-01;61;75;Not in Retirement;M;41011 Seventh Boulevard;Chandler;AZ;85226;65357;21844;685
43;Leslie Myers;1994-01-01;29;52;Not in Retirement;F;613 Little Creek Lane;Immokalee;FL;34142;22066;38967;842
44;Joaquin Parker;1977-11-01;46;66;Not in Retirement;M;1942 Rose Avenue;Port Orange;FL;32128;44681;42011;770
45;Butch Brooks;1994-02-01;29;69;Not in Retirement;M;5101 Birch Lane;Maryland Heights;MO;63043;51306;68198;675
46;Kiera Allen;2002-02-01;21;59;Not in Retirement;F;7 11th Drive;San Antonio;TX;78210;25847;46379;568
47;Lylah Peres;1959-11-01;64;64;Not in Retirement;F;2468 Spruce Drive;Longwood;FL;32750;46683;93126;788
48;Ty Jackson;1958-11-01;65;66;Not in Retirement;M;8001 Essex Boulevard;Milwaukee;WI;53210;31579;52419;771
49;Bodhi Nguyen;1972-10-01;51;65;Not in Retirement;M;708 George Street;Camilla;GA;31730;28055;12475;829
50;Chaya Howard;1977-12-01;46;68;Not in Retirement;F;28 Hillside Boulevard;Canton;MI;48188;65403;80057;784
51;Kyleigh Rogers;1964-11-01;59;73;Not in Retirement;F;446 Birch Drive;La Follette;TN;37766;27572;59404;797
52;Mikaela Martin;1971-12-01;52;70;Not in Retirement;F;578 Maple Avenue;Inman;SC;29349;38539;0;850
53;Luella Perry;1978-07-01;45;57;Not in Retirement;F;14 Valley Drive;Poca;WV;25159;38059;68220;634
54;Lainey Gutierrez;1960-11-01;63;68;Not in Retirement;F;2475 Little Creek Boulevard;Leander;TX;78641;52754;38191;693
55;Marvin Anwar;1975-02-01;48;59;Not in Retirement;M;9604 Catherine Drive;Rego Park;NY;11374;51196;67164;631
56;Holden Taylor;1993-07-01;30;70;Not in Retirement;M;349 First Drive;Atlanta;GA;30318;49713;91776;763
57;Aiyana Abe;1998-04-01;25;68;Not in Retirement;F;7914 Essex Boulevard;Toledo;OH;43623;44160;134173;696
58;Milani Merkel;1973-05-01;50;59;Not in Retirement;F;524 Ocean Drive;Houston;TX;77056;193773;241571;660
59;Princess Cooper;1979-02-01;44;66;Not in Retirement;F;2079 Maple Drive;Mount Union;PA;17066;29864;44902;717
60;Wyatt Davis;1997-07-01;26;67;Not in Retirement;M;295 Valley Drive;San Antonio;TX;78232;57367;115418;795
61;Nathalie Faraday;1957-02-01;66;58;Already in Retirement;F;2883 Ocean View Boulevard;Black Diamond;WA;98010;56635;13015;786
62;Erik Chen;1975-03-01;48;67;Not in Retirement;M;5125 Elm Drive;Ogden;UT;84414;47227;151030;760
63;Gatlin Morris;1997-10-01;26;68;Not in Retirement;M;4098 Park Drive;Fort Worth;TX;76115;24574;80667;674
64;Eloise Bennett;1991-01-01;32;65;Not in Retirement;F;892 Spruce Street;Saint Albans;NY;11412;43397;42168;697
65;Leighton Wood;1991-06-01;32;72;Not in Retirement;F;9977 Oak Avenue;Oxford;MD;21654;58105;70254;688
66;Layne Butler;1937-06-01;86;67;Already in Retirement;M;79 South Boulevard;Gonzales;TX;78629;10869;1820;820
67;Janiyah Foster;1929-06-01;94;66;Already in Retirement;F;145 River Drive;Allentown;PA;18102;19893;1712;566
68;Jagger Braun;1956-08-01;67;65;Already in Retirement;M;7605 Essex Boulevard;Mount Vernon;OH;43050;36743;71719;612
69;Brianna Powell;1970-07-01;53;70;Not in Retirement;F;480 Seventh Lane;Trenton;NJ;8610;46377;79980;719
70;Elle Clark;1983-10-01;40;69;Not in Retirement;F;5506 Fifth Boulevard;Gardena;CA;90248;50179;110515;743
71;Nathan Merkel;1989-11-01;34;65;Not in Retirement;M;136 Spruce Street;Petaluma;CA;94955;54537;121987;765
72;Kristopher Nelson;1996-12-01;27;66;Not in Retirement;M;306 First Drive;Apopka;FL;32712;49255;6557;823
73;Asher Ortiz;1977-10-01;46;65;Not in Retirement;M;272 Burns Boulevard;Summit Argo;IL;60501;31031;21853;744
74;Tristian Walker;1955-01-01;68;66;Already in Retirement;M;190 Sixth Drive;Rockwall;TX;75032;70673;87605;714
75;Emily Parker;1932-10-01;91;57;Already in Retirement;F;8569 Wessex Boulevard;Birmingham;AL;35211;16342;1758;747
76;Dangelo Ortiz;1997-09-01;26;65;Not in Retirement;M;385 Lexington Boulevard;Seminole;TX;79360;30961;42597;677
77;Ariana Cook;1961-03-01;62;67;Not in Retirement;F;407 Park Lane;Islandton;SC;29929;30305;23392;776
78;Santana Myers;1989-03-01;34;68;Not in Retirement;M;5142 Little Creek Street;Edmond;OK;73034;68784;198417;696
79;Faye Walker;1994-08-01;29;71;Not in Retirement;F;224 Mountain View Boulevard;Kalispell;MT;59901;34745;26503;691
80;Rebecca Gonzalez;2001-11-01;22;67;Not in Retirement;F;4735 Fifth Avenue;Baton Rouge;LA;70808;64715;174664;740
81;Nadia Perry;1961-02-01;62;69;Not in Retirement;F;4793 North Street;Mars;PA;16046;80464;76261;727
82;Lizbeth Baker;2002-02-01;21;67;Not in Retirement;F;72 El Camino Boulevard;Pittsburgh;PA;15220;49748;23161;748
83;Bryan Fox;1958-11-01;65;58;Already in Retirement;M;381 Fifth Lane;Ontario;CA;91764;41904;12545;655
84;Juliette Howard;1965-09-01;58;70;Not in Retirement;F;393 Mountain View Lane;Newport Coast;CA;92657;196784;437533;729
85;Bella Kelley;1992-03-01;31;66;Not in Retirement;F;293 Wessex Street;Northville;MI;48168;100837;61377;687
86;Jordy Bailey;1987-06-01;36;65;Not in Retirement;M;7276 Fourth Drive;Fenton;MI;48430;51654;95454;600
87;Amelia Fernandez;1955-06-01;68;69;Not in Retirement;F;327 Lafayette Boulevard;Lancaster;OH;43130;38088;51679;691
88;Bjorn Schmidt;2001-08-01;22;69;Not in Retirement;M;2846 Lake Avenue;Welsh;LA;70591;36866;0;680
89;Skylar James;1967-09-01;56;70;Not in Retirement;M;2093 Ocean Street;Oakland;CA;94606;37607;63689;749
90;Mae Farhad;1970-10-01;53;66;Not in Retirement;F;981 Fifth Boulevard;Fort Morgan;CO;80701;34480;58795;696
91;Nikolai Cruz;1977-01-01;46;66;Not in Retirement;M;18 Norfolk Boulevard;Madison;WI;53716;48279;114254;719
92;Jared Hill;1983-07-01;40;65;Not in Retirement;M;977 Littlewood Avenue;Panama City;FL;32401;32896;69800;735
93;Jeremias Russell;2001-06-01;22;71;Not in Retirement;M;993 Mountain View Avenue;Perris;CA;92570;29909;42832;664
94;Aubrielle Roman;1982-12-01;41;64;Not in Retirement;F;896 Rose Street;Minneapolis;MN;55433;47464;83591;716
95;Carla James;1996-05-01;27;64;Not in Retirement;F;2418 Mill Drive;San Jose;CA;95129;85128;108678;641
96;Kase Nguyen;1965-09-01;58;69;Not in Retirement;M;3683 Fifth Street;Mount Holly;NC;28120;45852;114746;615
97;Annalee Sanders;1986-07-01;37;67;Not in Retirement;F;0 Elm Street;Glendale;AZ;85301;26556;43042;840
98;Journee Collins;1956-11-01;67;67;Not in Retirement;F;2302 Catherine Lane;Hollywood;FL;33024;40194;107765;738
99;Trent Davis;1998-02-01;25;67;Not in Retirement;M;213 Rose Drive;Irving;TX;75038;62135;75209;676
100;Zavier Phillips;1972-01-01;51;65;Not in Retirement;M;8975 Littlewood Boulevard;Cape Coral;FL;33914;39303;23650;702
101;Ivory Peres;1956-03-01;67;64;Already in Retirement;F;1389 Park Lane;Waldorf;MD;20603;71593;132181;821
102;Ace Bailey;1944-12-01;79;67;Already in Retirement;M;2890 Eighth Lane;Maywood;IL;60153;22158;19101;681
103;Agustin Reyes;1957-06-01;66;66;Not in Retirement;M;20 Littlewood Boulevard;Howard Beach;NY;11414;53996;98211;632
104;Hannah Chen;1991-10-01;32;73;Not in Retirement;F;6413 Second Street;Pensacola;FL;32505;26025;23971;723
105;Zahra Williams;1994-11-01;29;69;Not in Retirement;F;611 Elm Lane;Yonkers;NY;10710;63816;100128;775
106;Estelle Richardson;1964-01-01;59;73;Not in Retirement;F;889 Martin Luther King Avenue;Apex;NC;27502;66230;90248;742
107;Lochlan Morris;1963-10-01;60;56;Already in Retirement;M;336 Rose Avenue;Chicago;IL;60616;36335;28929;676
108;Simone Carter;1961-02-01;62;61;Already in Retirement;F;4254 Plum Lane;Westminster;CA;92683;39633;58586;777
109;Zariah Mitchell;1976-08-01;47;69;Not in Retirement;F;825 Sussex Avenue;Dyer;IN;46311;57185;0;773
110;Samuel Fu;1982-11-01;41;69;Not in Retirement;M;185 Forest Drive;Marietta;GA;30068;82637;84762;739
111;Virginia Gutierrez;1960-01-01;63;57;Already in Retirement;F;561 Martin Luther King Avenue;Novi;MI;48375;31121;32768;619
112;Isaias Robinson;1972-11-01;51;67;Not in Retirement;M;335 Valley Stream Boulevard;Gonzales;TX;78629;30774;51428;700
113;Eduardo Wood;1971-12-01;52;67;Not in Retirement;M;1773 Hill Street;Shelbyville;IL;62565;33236;57549;747
114;Parker Howard;1984-10-01;39;65;Not in Retirement;M;55 Ocean View Street;Amarillo;TX;79110;37947;49951;683
115;Kendrick Brooks;1995-11-01;28;65;Not in Retirement;M;8245 El Camino Lane;Wichita;KS;67207;43875;128146;639
116;Maci Diaz;1993-05-01;30;66;Not in Retirement;F;9530 Washington Street;Novato;CA;94947;61850;81158;728
117;Matias Farhad;1991-05-01;32;71;Not in Retirement;M;221 Lexington Avenue;Savannah;GA;31420;40314;131348;707
118;Silas Ward;1993-08-01;30;67;Not in Retirement;M;2484 Norfolk Drive;Milford;DE;19963;37968;55982;788
119;Roland Gonzalez;1978-11-01;45;67;Not in Retirement;M;133 Grant Lane;Fremont;MI;49412;34954;45456;772
120;Yehuda Jones;1979-09-01;44;74;Not in Retirement;M;1977 Lake Avenue;Woodland Hills;CA;91364;95945;222735;772
121;Kaelyn Anwar;2002-02-01;21;58;Not in Retirement;F;352 George Street;Fort Gratiot;MI;48059;33844;42109;684
122;Justice Ortiz;1953-04-01;70;67;Already in Retirement;M;554 Grant Boulevard;Andover;KS;67002;65573;143069;739
123;Messiah Bell;1979-07-01;44;66;Not in Retirement;M;631 Ocean View Street;Madison;WI;53704;48609;43520;737
124;Keira Wright;1974-05-01;49;70;Not in Retirement;F;31 Jefferson Boulevard;Fernwood;ID;83830;25723;34007;746
125;Caylee Gutierrez;2000-03-01;23;72;Not in Retirement;F;973 Federal Avenue;Daphne;AL;36526;51984;79152;691
126;Angel Hill;1986-02-01;37;65;Not in Retirement;M;95266 Bayview Drive;Oakland;CA;94611;107683;225017;694
127;Bridget Faraday;1996-02-01;27;69;Not in Retirement;F;932 Essex Street;Perris;CA;92571;32847;33514;721
128;Sebastian Lee;1963-01-01;60;66;Not in Retirement;M;126 Valley Drive;Jackson;MS;39213;22556;43260;645
129;Lizbeth Garcia;1984-09-01;39;54;Not in Retirement;F;239 South Drive;Aberdeen;MD;21001;46063;106528;618
130;Ximena Davis;2000-09-01;23;65;Not in Retirement;F;1134 Valley Drive;Farmington;CT;6032;95348;71972;706
131;Haley Braun;1992-01-01;31;65;Not in Retirement;F;5863 Grant Avenue;Wellsville;KS;66092;45180;13168;698
132;Kalel Hughes;1982-04-01;41;69;Not in Retirement;M;3472 11th Avenue;Orlando;FL;32822;30865;55079;594
133;Korbin Roman;1999-11-01;24;69;Not in Retirement;M;5590 Bayview Avenue;Avoca;MI;48006;41543;49021;732
134;Kenny Gray;1966-09-01;57;73;Not in Retirement;M;94 Jefferson Drive;Tyler;TX;75706;30198;40950;693
135;Adilynn Wood;1974-12-01;49;64;Not in Retirement;F;582 Birch Boulevard;Fort Myers;FL;33901;40006;72794;621
136;Kace Chen;1966-05-01;57;68;Not in Retirement;M;809 Mountain View Boulevard;Olathe;KS;66062;61646;0;693
137;Abril Cook;1980-10-01;43;67;Not in Retirement;F;6339 Fourth Street;Reisterstown;MD;21136;67643;0;714
138;Ivy Gutierrez;1933-05-01;90;71;Already in Retirement;F;81 Hill Avenue;Detroit;MI;48235;22650;0;690
139;Garrett Macron;1956-10-01;67;67;Not in Retirement;M;28136 Wessex Street;Brooklyn;NY;11212;30288;42745;689
140;Nolan Sadr;1952-10-01;71;65;Already in Retirement;M;8787 Rose Avenue;San Francisco;CA;94112;47213;1082;789
141;Marianna Gutierrez;1943-10-01;80;66;Already in Retirement;F;96 Ninth Lane;Konawa;OK;74849;28215;18116;697
142;Stetson Thomas;1987-04-01;36;55;Not in Retirement;M;3249 12th Drive;Woodinville;WA;98077;105515;192458;646
143;Vicente Martinez;1983-12-01;40;68;Not in Retirement;M;9340 Valley Street;Bradenton;FL;34207;28489;6087;808
144;Amayah Thomas;1956-09-01;67;69;Not in Retirement;F;6429 Fifth Avenue;Charlotte;NC;28226;81048;156195;781
145;Zelda Ward;2000-12-01;23;62;Not in Retirement;F;849 George Avenue;Easton;MD;21601;47263;74853;726
146;Drake Howard;2000-07-01;23;71;Not in Retirement;M;804 Seventh Boulevard;Redding;CA;96002;33816;77770;635
147;Danielle Carter;1994-09-01;29;69;Not in Retirement;F;76009 Valley Stream Boulevard;Waukegan;IL;60085;32160;62803;634
148;Kora Bailey;1936-08-01;87;65;Already in Retirement;F;387 Third Boulevard;Rio Rico;AZ;85648;29494;1196;689
149;Emery Mitchell;1951-03-01;72;63;Already in Retirement;F;6398 Lake Lane;Franklin;TN;37067;70554;39078;655
150;Zayn Nguyen;1956-09-01;67;62;Already in Retirement;M;786 12th Drive;Wheeling;IL;60090;33686;24997;488
151;Myah Gray;1927-08-01;96;72;Already in Retirement;F;290 Forest Street;Tucson;AZ;85749;57732;2261;726
152;Cash Watson;1998-03-01;25;65;Not in Retirement;M;320 Hillside Lane;Memphis;TN;38106;21879;69638;762
153;Benson Xi;1991-05-01;32;65;Not in Retirement;M;437 Ocean View Drive;State College;PA;16801;51041;106989;686
154;Bjorn Perez;2002-01-01;21;69;Not in Retirement;M;9850 Birch Drive;West Roxbury;MA;2132;70380;106797;725
155;Edward Abe;1994-08-01;29;64;Not in Retirement;M;55 Third Drive;Elmwood Park;IL;60707;42617;67590;771
156;Shepard Lopez;1944-07-01;79;65;Already in Retirement;M;177 Mill Boulevard;Manahawkin;NJ;8050;46031;8332;661
157;Estrella Sullivan;1964-10-01;59;66;Not in Retirement;F;886 Little Creek Drive;Delmar;NY;12054;65094;23909;699
158;Jane Brooks;1993-02-01;30;65;Not in Retirement;F;327 Seventh Boulevard;Lexington;KY;40517;37268;50388;626
159;Zaria Brooks;1967-02-01;56;67;Not in Retirement;F;8224 Fourth Drive;Waterbury;CT;6705;38972;44098;738
160;Elsa Gonzalez;1957-02-01;66;64;Already in Retirement;F;174 Catherine Boulevard;Compton;CA;90222;26661;42667;750
161;Atticus Abe;1971-09-01;52;66;Not in Retirement;M;496 Hill Lane;Minneapolis;MN;55419;82295;1555;736
162;Alfonso Gao;1972-09-01;51;68;Not in Retirement;M;23068 Park Street;Lansing;NC;28643;25748;41455;738
163;Ronin White;1963-11-01;60;65;Not in Retirement;M;27019 Madison Lane;Bean Station;TN;37708;27861;108313;782
164;Gannon Baker;2001-12-01;22;72;Not in Retirement;M;293 First Boulevard;Redlands;CA;92374;48561;0;752
165;Nicole Gomez;1953-04-01;70;69;Already in Retirement;F;8929 Essex Drive;Bloomington;IN;47403;38999;64875;747
166;Korbin Long;1957-04-01;66;66;Not in Retirement;M;1569 George Boulevard;Bailey;NC;27807;33112;56040;716
167;Melina Wright;1985-10-01;38;66;Not in Retirement;F;326 Elm Lane;Charlotte;NC;28211;100880;210445;770
168;Briar Smith;1997-11-01;26;65;Not in Retirement;M;32 Valley Drive;Oxnard;CA;93031;37058;50548;680
169;Yahya Anderson;1995-03-01;28;58;Not in Retirement;M;4132 Norfolk Boulevard;Hyattsville;MD;20785;47234;89154;685
170;Florence Masvidal;1974-05-01;49;72;Not in Retirement;F;819 El Camino Boulevard;Cushing;OK;74023;35142;107898;731
171;Danna Torres;1976-03-01;47;65;Not in Retirement;F;742 Lake Street;Coos Bay;OR;97420;30721;49961;749
172;Paityn King;1963-12-01;60;67;Not in Retirement;F;607 George Boulevard;Acworth;GA;30101;58846;126806;746
173;Layne Green;1990-06-01;33;68;Not in Retirement;M;704 Eighth Avenue;Waterville;NY;13480;39069;63884;720
174;Sasha Gao;2000-02-01;23;65;Not in Retirement;F;8643 Lafayette Boulevard;Lawrenceville;GA;30043;49449;30723;728
175;Yamileth Mitchell;1980-03-01;43;73;Not in Retirement;F;63 Plum Street;Stearns;KY;42647;22312;39445;720
176;Mateo Robinson;1987-04-01;36;72;Not in Retirement;M;5381 12th Boulevard;Miami;OK;74355;36388;92949;710
177;Izabella Phillips;1967-08-01;56;68;Not in Retirement;F;65 Fifth Boulevard;Saint Cloud;FL;34771;45037;31792;710
178;Samantha Gonzalez;1972-10-01;51;63;Not in Retirement;F;2614 Eighth Lane;Waupaca;WI;54981;38615;74337;601
179;Bentlee Garcia;1979-07-01;44;61;Not in Retirement;M;196 Plum Lane;Bronx;NY;10458;28229;55675;622
180;Sarah Clark;1961-11-01;62;67;Not in Retirement;F;444 Maple Avenue;Noblesville;IN;46060;50232;1218;751
181;Judah Jones;1960-05-01;63;66;Not in Retirement;M;868 Maple Drive;Greenville;KY;42345;34350;61639;705
182;Bentley Lopez;1972-11-01;51;69;Not in Retirement;M;6009 River Avenue;Canton;GA;30114;52308;135319;679
183;Juliet Hughes;1992-08-01;31;66;Not in Retirement;F;2058 Spruce Street;Saint Petersburg;FL;33709;32061;58904;676
184;Javon Long;1945-02-01;78;69;Already in Retirement;M;6930 East Lane;Tooele;UT;84074;21154;5764;705
185;Allie Sullivan;1967-10-01;56;72;Not in Retirement;F;31204 El Camino Lane;Austin;TX;78728;52186;42852;737
186;Kassidy Morgan;1976-05-01;47;70;Not in Retirement;F;967 First Avenue;Pierceton;IN;46562;35264;70328;770
187;Evelynn Diaz;1935-09-01;88;71;Already in Retirement;F;136 Hillside Avenue;Walnut Creek;CA;94598;79870;4031;609
188;Hayden Myers;1949-12-01;74;59;Already in Retirement;F;669 South Street;Barnstable;MA;2630;41902;29713;633
189;Laura Cook;1995-08-01;28;61;Not in Retirement;F;66992 Second Street;Las Vegas;NV;89131;63969;128412;626
190;Khalil Morgan;1972-07-01;51;68;Not in Retirement;M;208 Park Avenue;Lyndonville;VT;5851;34606;23909;680
191;Moshe Gutierrez;1987-11-01;36;60;Not in Retirement;M;335 Main Street;Atlanta;GA;30310;26631;33950;805
192;Pratik Thomas;1980-11-01;43;64;Not in Retirement;M;532 12th Drive;Palm Bay;FL;32907;35978;49366;643
193;Myles Robinson;1955-10-01;68;69;Not in Retirement;M;1350 Lake Drive;Van Alstyne;TX;75495;49756;89743;618
194;Martin Reed;1982-06-01;41;71;Not in Retirement;M;691 First Lane;Nashville;TN;37221;60897;85771;850
195;Elora Schmidt;1961-03-01;62;65;Not in Retirement;F;511 Grant Avenue;Dawsonville;GA;30534;41963;53857;741
196;Violet Robinson;1982-07-01;41;60;Not in Retirement;F;3510 Mountain View Street;Minneapolis;MN;55432;44976;134335;684
197;Phoenix Long;1992-09-01;31;69;Not in Retirement;M;9264 Lake Avenue;Grand Prairie;TX;75052;46733;34333;692
198;Sue Powell;1993-04-01;30;60;Not in Retirement;F;596 Mountain View Lane;Centerville;MA;2632;47160;64193;578
199;Tatum Reyes;1996-07-01;27;65;Not in Retirement;M;374 East Lane;West Lafayette;IN;47906;50433;97029;838
200;Brennan Diaz;1999-08-01;24;63;Not in Retirement;M;51 George Avenue;Federal Way;WA;98023;51713;86165;809
201;Emanuel Rivera;1974-08-01;49;65;Not in Retirement;M;3916 Tenth Boulevard;Fort Worth;TX;76106;24215;28552;707
202;Gianni Kelly;1970-09-01;53;59;Not in Retirement;M;813 Fifth Boulevard;Caledonia;OH;43314;37298;52134;683
203;Kane Harris;1994-12-01;29;67;Not in Retirement;M;8931 Norfolk Drive;Mesa;AZ;85203;40457;68826;739
204;Willie Nguyen;1961-06-01;62;72;Not in Retirement;M;8996 Third Street;Arlington;MA;2476;82974;181429;503
205;Evalyn Rogers;1973-07-01;50;68;Not in Retirement;F;33 Tenth Street;Huntington Station;NY;11746;71103;136853;721
206;Jaycee James;1976-05-01;47;75;Not in Retirement;F;5528 Lake Lane;Muse;PA;15350;29194;10895;703
207;Killian Thompson;1967-10-01;56;67;Not in Retirement;M;8824 Hillside Avenue;Hendersonville;NC;28739;33465;98713;669
208;Alayna Carter;1999-06-01;24;71;Not in Retirement;F;69 Norfolk Avenue;Warren;OH;44483;31314;40331;721
209;Maximilian Kelly;1983-07-01;40;68;Not in Retirement;M;57 Pine Boulevard;Tulsa;OK;74110;23718;1386;712
210;Cecilia Thompson;1973-06-01;50;66;Not in Retirement;F;9528 Hill Street;Arnold;MD;21012;72670;28915;718
211;Harley Wright;1995-04-01;28;67;Not in Retirement;F;8251 Park Lane;Dublin;OH;43016;77972;6128;686
212;Jamie Merkel;1981-10-01;42;66;Not in Retirement;F;177 Maple Boulevard;Van Buren;AR;72956;34854;40722;746
213;Lauren Parker;1994-12-01;29;69;Not in Retirement;F;299 Oak Boulevard;Mcminnville;OR;97128;36902;60538;711
214;Eva Roman;1991-12-01;32;59;Not in Retirement;F;7087 Plum Street;Saint Petersburg;FL;33706;53984;76118;701
215;Koa Barnes;1939-03-01;84;69;Already in Retirement;M;614 Spruce Avenue;Whitehouse Station;NJ;8889;104692;6955;704
216;Raven Hall;1995-05-01;28;66;Not in Retirement;F;625 Washington Lane;Kirkland;WA;98033;101191;290730;659
217;Roberto Peres;1981-10-01;42;66;Not in Retirement;M;311 Fifth Drive;Ann Arbor;MI;48103;69566;50003;791
218;London Reyes;1998-04-01;25;71;Not in Retirement;M;966 Sussex Boulevard;Villa Park;IL;60181;49382;43126;762
219;Julianna Clark;1979-01-01;44;65;Not in Retirement;F;9059 Eighth Avenue;Bakersville;NC;28705;28733;0;702
220;Makai Ward;1932-08-01;91;72;Already in Retirement;M;4713 First Boulevard;Columbia City;IN;46725;30349;2985;686
221;Jayden Diaz;1988-03-01;35;68;Not in Retirement;M;4165 Valley Avenue;Glen Carbon;IL;62034;58538;93153;610
222;Hazel Collins;1987-08-01;36;66;Not in Retirement;F;38 Catherine Boulevard;Saint Petersburg;FL;33705;36901;23293;695
223;Deacon Bell;1950-01-01;73;65;Already in Retirement;M;3485 Federal Avenue;Cochranville;PA;19330;49531;6707;737
224;Rafael Cruz;1951-08-01;72;66;Already in Retirement;M;198 Main Boulevard;Chicago;IL;60653;35370;14777;562
